row_id,layer,ctor_module,ctor_unit,ctor_symbols,ktor_path,depth,evidence,gaps,parity_board_id
L1:app/config/config.c,1_module,app/config,config.c,config,core/src/main/kotlin/org/kotlintor/config/Config.kt;core/src/main/kotlin/org/kotlintor/config/TorConfig.kt;core/src/main/kotlin/org/kotlintor/dir/DirAuthConfig.kt;core/src/main/kotlin/org/kotlintor/hs/HsConfig.kt;core/src/main/kotlin/org/kotlintor/hs/HsCommonConfigDos.kt,D3,ConfigControlMuxPaddingElevationTest + Config/TorConfig parse vs config.c; matched 10 path(s),field-by-field semantic wiring thinner,
L1:app/config/quiet_level.c,1_module,app/config,quiet_level.c,quiet_level,core/src/main/kotlin/org/kotlintor/config/QuietLevel.kt;core/src/main/kotlin/org/kotlintor/config/TorConfig.kt,D3,QuietLevelElevationTest vs quiet_level.c; matched 2 path(s),,
L1:app/config/resolve_addr.c,1_module,app/config,resolve_addr.c,resolve_addr,core/src/main/kotlin/org/kotlintor/net/ResolveAddr.kt,D3,MainloopChannelCircuitClientElevationTest + ResolveAddr vs resolve_addr.c; matched 1 path(s),full AddressDisableIPv6 / authority resolve thinner,
L1:app/config/statefile.c,1_module,app/config,statefile.c,statefile,core/src/main/kotlin/org/kotlintor/config/Statefile.kt,D3,MainloopChannelCircuitClientElevationTest + Statefile load/save vs statefile.c; matched 1 path(s),full or_state_t field matrix / ExtrInfo thinner,
L1:app/main/main.c,1_module,app/main,main.c,main,core/src/main/kotlin/org/kotlintor/app/Main.kt;core/src/main/kotlin/org/kotlintor/mainloop/Mainloop.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopSys.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopPubsub.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopState.kt,D3,AppMainElevationTest + Main/SubsystemList vs main.c; matched 8 path(s),full libevent mainloop wiring thinner,
L1:app/main/ntmain.c,1_module,app/main,ntmain.c,ntmain,core/src/main/kotlin/org/kotlintor/app/NtMain.kt;core/src/main/kotlin/org/kotlintor/app/Main.kt;cli/src/main/kotlin/org/kotlintor/cli/Main.kt,D3,AppMainElevationTest + NtMain vs ntmain.c; matched 3 path(s),Windows service host thinner,
L1:app/main/risky_options.c,1_module,app/main,risky_options.c,risky_options,core/src/main/kotlin/org/kotlintor/config/RiskyOptions.kt,D3,AppMainElevationTest + RiskyOptions vs risky_options.c; matched 1 path(s),full risky option gate matrix thinner,
L1:app/main/shutdown.c,1_module,app/main,shutdown.c,shutdown,core/src/main/kotlin/org/kotlintor/app/Shutdown.kt,D3,AppMainElevationTest + Shutdown/TorDaemon.stop vs shutdown.c; matched 1 path(s),full ordered subsystem teardown thinner,
L1:app/main/subsysmgr.c,1_module,app/main,subsysmgr.c,subsysmgr,core/src/main/kotlin/org/kotlintor/app/SubsysMgr.kt,D3,AppMainElevationTest + SubsysMgr vs subsysmgr.c; matched 1 path(s),full subsystem level order thinner,
L1:app/main/subsystem_list.c,1_module,app/main,subsystem_list.c,subsystem_list,core/src/main/kotlin/org/kotlintor/app/SubsystemList.kt,D3,AppMainElevationTest + SubsystemList vs subsystem_list.c; matched 1 path(s),full C subsystem_t table thinner,
L1:app/main/tor_main.c,1_module,app/main,tor_main.c,tor_main,core/src/main/kotlin/org/kotlintor/app/TorMain.kt;core/src/main/kotlin/org/kotlintor/api/TorApi.kt;core/src/main/kotlin/org/kotlintor/app/Main.kt;cli/src/main/kotlin/org/kotlintor/cli/Main.kt,D3,AppMainElevationTest + TorMain/TorDaemon vs tor_main.c; matched 4 path(s),full argv/option act thinner,
L1:core/crypto/hs_ntor.c,1_module,core/crypto,hs_ntor.c,hs_ntor,core/src/main/kotlin/org/kotlintor/hs/HsNtor.kt;core/src/main/kotlin/org/kotlintor/crypto/Ntor.kt,D3,ProtoverConfluxHsElevationTest + HsNtorTest vectors vs hs_ntor.c; matched 2 path(s),service-side INTRODUCE decrypt path thinner,
L1:core/crypto/onion_crypto.c,1_module,core/crypto,onion_crypto.c,onion_crypto,core/src/main/kotlin/org/kotlintor/crypto/OnionCrypto.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionFast.kt;core/src/main/kotlin/org/kotlintor/circuit/Onion.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + OnionCrypto dispatch vs onion_crypto.c; matched 3 path(s),ntor/ntor-v3 onion_skin_* server path thinner,
L1:core/crypto/onion_fast.c,1_module,core/crypto,onion_fast.c,onion_fast,core/src/main/kotlin/org/kotlintor/crypto/OnionFast.kt;core/src/main/kotlin/org/kotlintor/crypto/CreateFast.kt;core/src/main/kotlin/org/kotlintor/circuit/Onion.kt,D3,OnionFastRelayDosHsElevationTest + OnionFast/CreateFast vs onion_fast.c; matched 3 path(s),CREATE_FAST obsolete KDF-TOR path only; CreateOnehop later,
L1:core/crypto/onion_ntor.c,1_module,core/crypto,onion_ntor.c,onion_ntor,core/src/main/kotlin/org/kotlintor/crypto/OnionNtor.kt;core/src/main/kotlin/org/kotlintor/crypto/Ntor.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionNtorV3.kt;core/src/main/kotlin/org/kotlintor/circuit/Onion.kt,D3,crypto ntor; matched 4 path(s),,
L1:core/crypto/onion_ntor_v3.c,1_module,core/crypto,onion_ntor_v3.c,onion_ntor_v3,core/src/main/kotlin/org/kotlintor/crypto/OnionNtorV3.kt;core/src/main/kotlin/org/kotlintor/crypto/NtorV3.kt;core/src/main/kotlin/org/kotlintor/crypto/Ntor.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionNtor.kt;core/src/main/kotlin/org/kotlintor/circuit/Onion.kt,D3,crypto ntor-v3; matched 5 path(s),,
L1:core/crypto/relay_crypto.c,1_module,core/crypto,relay_crypto.c,relay_crypto,core/src/main/kotlin/org/kotlintor/circuit/RelayCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/RelayCryptoTor1.kt;core/src/main/kotlin/org/kotlintor/circuit/RelayCryptoCgo.kt;core/src/main/kotlin/org/kotlintor/circuit/Relay.kt,D3,OnionFastRelayDosHsElevationTest + RelayCrypto dispatch vs relay_crypto.c; matched 5 path(s),full relay_crypto_t cell encrypt/decrypt hot path thinner,
L1:core/crypto/relay_crypto_cgo.c,1_module,core/crypto,relay_crypto_cgo.c,relay_crypto_cgo,core/src/main/kotlin/org/kotlintor/circuit/RelayCryptoCgo.kt;core/src/main/kotlin/org/kotlintor/crypto/*;core/src/main/kotlin/org/kotlintor/crypto/Cgo.kt;core/src/main/kotlin/org/kotlintor/circuit/RelayCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/Relay.kt,D3,RelayCryptoCgo + live EXTEND V1; matched 5 path(s),,
L1:core/crypto/relay_crypto_tor1.c,1_module,core/crypto,relay_crypto_tor1.c,relay_crypto_tor1,core/src/main/kotlin/org/kotlintor/circuit/RelayCryptoTor1.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/RelayCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/Relay.kt,D3,ProtoverConfluxHsElevationTest + RelayCryptoTor1 vs relay_crypto_tor1.c; matched 4 path(s),full cake encrypt/peel integration thinner,
L1:core/mainloop/connection.c,1_module,core/mainloop,connection.c,connection,core/src/main/kotlin/org/kotlintor/link/Connection.kt;core/src/main/kotlin/org/kotlintor/circuit/ConnectionEdge.kt;core/src/main/kotlin/org/kotlintor/link/OrConnection.kt;core/src/main/kotlin/org/kotlintor/link/ConnectionSt.kt;core/src/main/kotlin/org/kotlintor/link/ConnectionOr.kt,D3,MainloopChannelCircuitClientElevationTest + ConnectionModule/Table vs connection.c; matched 5 path(s),full connection_t mainloop / linked flush thinner,
L1:core/mainloop/cpuworker.c,1_module,core/mainloop,cpuworker.c,cpuworker,core/src/main/kotlin/org/kotlintor/os/CpuWorker.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + CpuWorker queue vs cpuworker.c; matched 1 path(s),full onionskin reply path / workqueue priorities thinner,
L1:core/mainloop/mainloop.c,1_module,core/mainloop,mainloop.c,mainloop,core/src/main/kotlin/org/kotlintor/mainloop/Mainloop.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopSys.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopPubsub.kt;core/src/main/kotlin/org/kotlintor/mainloop/MainloopState.kt;core/src/main/kotlin/org/kotlintor/app/Main.kt,D3,MainloopChannelCircuitClientElevationTest + Mainloop tick vs mainloop.c; matched 6 path(s),full libevent / socket callbacks thinner,
L1:core/mainloop/mainloop_pubsub.c,1_module,core/mainloop,mainloop_pubsub.c,mainloop_pubsub,core/src/main/kotlin/org/kotlintor/mainloop/MainloopPubsub.kt;core/src/main/kotlin/org/kotlintor/mainloop/Mainloop.kt;core/src/main/kotlin/org/kotlintor/app/Main.kt;cli/src/main/kotlin/org/kotlintor/cli/Main.kt,D3,MainloopChannelCircuitClientElevationTest + MainloopPubsub vs mainloop_pubsub.c; matched 4 path(s),full msg delivery / cross-subsys thinner,
L1:core/mainloop/mainloop_sys.c,1_module,core/mainloop,mainloop_sys.c,mainloop_sys,core/src/main/kotlin/org/kotlintor/mainloop/MainloopSys.kt;core/src/main/kotlin/org/kotlintor/mainloop/Mainloop.kt;core/src/main/kotlin/org/kotlintor/app/Main.kt;cli/src/main/kotlin/org/kotlintor/cli/Main.kt,D3,MainloopChannelCircuitClientElevationTest + MainloopSys vs mainloop_sys.c; matched 4 path(s),full subsystem list wiring thinner,
L1:core/mainloop/netstatus.c,1_module,core/mainloop,netstatus.c,netstatus,core/src/main/kotlin/org/kotlintor/status/NetStatus.kt;core/src/main/kotlin/org/kotlintor/status/HeartbeatStatus.kt;core/src/main/kotlin/org/kotlintor/TorDaemon.kt;core/src/main/kotlin/org/kotlintor/status/Status.kt,D3,NetStatusElevationTest + NetStatus.kt vs netstatus.c; matched 4 path(s),mainloop periodic reschedule on wake thinner,
L1:core/mainloop/periodic.c,1_module,core/mainloop,periodic.c,periodic,core/src/main/kotlin/org/kotlintor/mainloop/Periodic.kt;core/src/main/kotlin/org/kotlintor/dir/DirAuthPeriodic.kt;core/src/main/kotlin/org/kotlintor/relay/OrPeriodic.kt;core/src/main/kotlin/org/kotlintor/relay/RelayPeriodic.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + Periodic roles/flags vs periodic.c; matched 4 path(s),mainloop_event_t enable/disable / net-disabled thinner,
L1:core/or/address_set.c,1_module,core/or,address_set.c,address_set,core/src/main/kotlin/org/kotlintor/net/AddressSet.kt,D3,AddressSet elevation vs address_set.c; matched 1 path(s),,
L1:core/or/channel.c,1_module,core/or,channel.c,channel,core/src/main/kotlin/org/kotlintor/link/Channel.kt;core/src/main/kotlin/org/kotlintor/link/ChannelScheduler.kt;core/src/main/kotlin/org/kotlintor/link/ChannelPadding.kt;core/src/main/kotlin/org/kotlintor/link/OrChannel.kt;core/src/main/kotlin/org/kotlintor/link/ChannelTls.kt,D3,MainloopChannelCircuitClientElevationTest + Channel/OrChannel vs channel.c; matched 8 path(s),full channel_t flush / destroy queue thinner,
L1:core/or/channelpadding.c,1_module,core/or,channelpadding.c,channelpadding,core/src/main/kotlin/org/kotlintor/link/ChannelPadding.kt;core/src/main/kotlin/org/kotlintor/link/PaddingNegotiate.kt;core/src/main/kotlin/org/kotlintor/link/Channel.kt;core/src/main/kotlin/org/kotlintor/trunnel/ChannelpaddingNegotiation.kt,D3,ChannelPaddingCcCommonElevationTest + ChannelPaddingController decide vs channelpadding.c; matched 4 path(s),live channel timer / netflow reduced SOS edge thinner,
L1:core/or/channeltls.c,1_module,core/or,channeltls.c,channeltls,core/src/main/kotlin/org/kotlintor/link/ChannelTls.kt;core/src/main/kotlin/org/kotlintor/link/OrConnection.kt;core/src/main/kotlin/org/kotlintor/link/Channel.kt;core/src/main/kotlin/org/kotlintor/or/ChannelTls.kt,D3,OrConnection TLS; matched 4 path(s),,
L1:core/or/circuitbuild.c,1_module,core/or,circuitbuild.c,circuitbuild,core/src/main/kotlin/org/kotlintor/circuit/CircuitBuild.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitBuildRelay.kt;core/src/main/kotlin/org/kotlintor/or/CircuitBuildTimes.kt,D3,MainloopChannelCircuitClientElevationTest + CircuitBuild plans vs circuitbuild.c; matched 4 path(s),full onion_extend / pathbias launch thinner,
L1:core/or/circuitlist.c,1_module,core/or,circuitlist.c,circuitlist,core/src/main/kotlin/org/kotlintor/circuit/CircuitList.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt,D3,CircuitListElevationTest + purpose/state/mark-close/global lists vs circuitlist.c; matched 2 path(s),chan-indexed circ maps / package window consensus param,
L1:core/or/circuitmux.c,1_module,core/or,circuitmux.c,circuitmux,core/src/main/kotlin/org/kotlintor/circuit/CircuitMux.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitMuxEwma.kt,D3,ConfigControlMuxPaddingElevationTest + CircuitMux flushFair vs circuitmux.c; matched 3 path(s),full cmux channel destroy / EWMA live flush thinner,
L1:core/or/circuitmux_ewma.c,1_module,core/or,circuitmux_ewma.c,circuitmux_ewma,core/src/main/kotlin/org/kotlintor/circuit/CircuitMuxEwma.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitMux.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt,D3,ProtoverConfluxHsElevationTest + CircuitMuxEwma vs circuitmux_ewma.c; matched 3 path(s),live cmux channel flush thinner,
L1:core/or/circuitpadding.c,1_module,core/or,circuitpadding.c,circuitpadding,core/src/main/kotlin/org/kotlintor/circuit/CircuitPadding.kt;core/src/main/kotlin/org/kotlintor/circuit/CircpadFsm.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitPaddingMachines.kt,D3,ConfigControlMuxPaddingElevationTest + CircuitPadding vs circuitpadding.c; matched 4 path(s),live middle ACK / full machines thinner,
L1:core/or/circuitpadding_machines.c,1_module,core/or,circuitpadding_machines.c,circuitpadding_machines,core/src/main/kotlin/org/kotlintor/circuit/CircuitPaddingMachines.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitPadding.kt,D3,ConfigControlMuxPaddingElevationTest + CircuitPaddingMachines vs circuitpadding_machines.c; matched 3 path(s),full WTF-PAD machine tables thinner,
L1:core/or/circuitstats.c,1_module,core/or,circuitstats.c,circuitstats,core/src/main/kotlin/org/kotlintor/circuit/CircuitStats.kt;core/src/main/kotlin/org/kotlintor/path/PathBias.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + CircuitStats CBT quantile vs circuitstats.c; matched 3 path(s),full Xm/alpha timeout close consensus params thinner,
L1:core/or/circuituse.c,1_module,core/or,circuituse.c,circuituse,core/src/main/kotlin/org/kotlintor/circuit/CircuitUse.kt;core/src/main/kotlin/org/kotlintor/circuit/Circuit.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + CircuitUse purpose/dirty vs circuituse.c; matched 2 path(s),full launch_prediction / cannibalize / isolate streams thinner,
L1:core/or/command.c,1_module,core/or,command.c,command,core/src/main/kotlin/org/kotlintor/circuit/Command.kt;core/src/main/kotlin/org/kotlintor/cell/CellCommand.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + Command classify vs command.c; matched 2 path(s),full create/relay process_cell handlers thinner,
L1:core/or/conflux.c,1_module,core/or,conflux.c,conflux,core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt;core/src/main/kotlin/org/kotlintor/circuit/ConfluxScheduler.kt;core/src/main/kotlin/org/kotlintor/circuit/ConfluxParams.kt;core/src/main/kotlin/org/kotlintor/circuit/ConfluxCell.kt;core/src/main/kotlin/org/kotlintor/circuit/ConfluxUtil.kt,D3,MainloopChannelCircuitClientElevationTest + Conflux set/cells vs conflux.c; matched 9 path(s),full multipath DATA reordering / leg failure thinner,
L1:core/or/conflux_cell.c,1_module,core/or,conflux_cell.c,conflux_cell,core/src/main/kotlin/org/kotlintor/circuit/ConfluxCell.kt;core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt;core/src/main/kotlin/org/kotlintor/cell/Cell.kt,D3,ConfluxParamsCellVegasElevationTest + ConfluxCell LINK/SWITCH vs conflux_cell.c; matched 3 path(s),live relay_send_command_from_edge path thinner,
L1:core/or/conflux_params.c,1_module,core/or,conflux_params.c,conflux_params,core/src/main/kotlin/org/kotlintor/circuit/ConfluxParams.kt;core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt;core/src/main/kotlin/org/kotlintor/or/ConfluxParamsSt.kt,D3,ConfluxParamsCellVegasElevationTest + ConfluxParams consensus/torrc vs conflux_params.c; matched 3 path(s),ConfluxEnabled=-1 auto ternary / server ratelim warn thinner,
L1:core/or/conflux_pool.c,1_module,core/or,conflux_pool.c,conflux_pool,core/src/main/kotlin/org/kotlintor/circuit/ConfluxPool.kt;core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt,D3,ProtoverConfluxHsElevationTest + ConfluxPool init/link/alg vs conflux_pool.c; matched 2 path(s),live launch_leg / predict_new / get_circ_for_conn thinner,
L1:core/or/conflux_sys.c,1_module,core/or,conflux_sys.c,conflux_sys,core/src/main/kotlin/org/kotlintor/circuit/ConfluxSys.kt;core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt,D3,OnionDosPoliciesEventsElevationTest + ConfluxSys init vs conflux_sys.c; matched 2 path(s),full pubsub / pool lifecycle thinner,
L1:core/or/conflux_util.c,1_module,core/or,conflux_util.c,conflux_util,core/src/main/kotlin/org/kotlintor/circuit/ConfluxUtil.kt;core/src/main/kotlin/org/kotlintor/circuit/Conflux.kt,D3,ProtoverConfluxHsElevationTest + ConfluxUtil can_send/validate vs conflux_util.c; matched 2 path(s),stream list sync / half-stream attach thinner,
L1:core/or/congestion_control_common.c,1_module,core/or,congestion_control_common.c,congestion_control_common,core/src/main/kotlin/org/kotlintor/circuit/CongestionControlCommon.kt;core/src/main/kotlin/org/kotlintor/circuit/CongestionControl.kt;core/src/main/kotlin/org/kotlintor/trunnel/CongestionControl.kt;control/src/main/kotlin/org/kotlintor/control/Control.kt,D3,ChannelPaddingCcCommonElevationTest + CongestionControlCommon enabled/params vs congestion_control_common.c; matched 4 path(s),full cwnd init path / AlwaysCongestionControl / trunnel CC ext thinner,
L1:core/or/congestion_control_flow.c,1_module,core/or,congestion_control_flow.c,congestion_control_flow,core/src/main/kotlin/org/kotlintor/circuit/CongestionControlFlow.kt;core/src/main/kotlin/org/kotlintor/circuit/CongestionControl.kt;core/src/main/kotlin/org/kotlintor/trunnel/CongestionControl.kt;control/src/main/kotlin/org/kotlintor/control/Control.kt,D3,CongestionControlFlowElevationTest + CongestionControlFlow XON/XOFF vs congestion_control_flow.c; matched 4 path(s),dropmark rate-limit scaling / control STREAM_EVENT wiring,
L1:core/or/congestion_control_vegas.c,1_module,core/or,congestion_control_vegas.c,congestion_control_vegas,core/src/main/kotlin/org/kotlintor/circuit/CongestionControlVegas.kt;core/src/main/kotlin/org/kotlintor/circuit/CongestionControl.kt;core/src/main/kotlin/org/kotlintor/trunnel/CongestionControl.kt;control/src/main/kotlin/org/kotlintor/control/Control.kt,D3,ConfluxParamsCellVegasElevationTest + CongestionControlVegas params/update vs congestion_control_vegas.c; matched 4 path(s),full cwnd_full / gamma path / consensus param wiring thinner,
L1:core/or/connection_edge.c,1_module,core/or,connection_edge.c,connection_edge,core/src/main/kotlin/org/kotlintor/circuit/ConnectionEdge.kt;core/src/main/kotlin/org/kotlintor/link/Connection.kt,D3,OnionDosPoliciesEventsElevationTest + ConnectionEdge stream table vs connection_edge.c; matched 2 path(s),full exit DNS / linked conn / half-stream thinner,
L1:core/or/connection_or.c,1_module,core/or,connection_or.c,connection_or,core/src/main/kotlin/org/kotlintor/link/ConnectionOr.kt;core/src/main/kotlin/org/kotlintor/link/OrConnection.kt;core/src/main/kotlin/org/kotlintor/link/Connection.kt,D3,OrConnection live TLS OR; matched 3 path(s),remaining edge cases vs connection_or.c,
L1:core/or/crypt_path.c,1_module,core/or,crypt_path.c,crypt_path,core/src/main/kotlin/org/kotlintor/circuit/CryptPath.kt;core/src/main/kotlin/org/kotlintor/circuit/CircuitCrypto.kt;core/src/main/kotlin/org/kotlintor/circuit/RelayCryptoCgo.kt;core/src/main/kotlin/org/kotlintor/or/CryptPathReference.kt,D3,MetricsTorCertCryptPathElevationTest + CryptPath circular list/nextNonOpen vs crypt_path.c; matched 4 path(s),relay crypto attach / SENDME tag live path thinner,
L1:core/or/dos.c,1_module,core/or,dos.c,dos,core/src/main/kotlin/org/kotlintor/relay/Dos.kt;core/src/main/kotlin/org/kotlintor/relay/DosGuard.kt;core/src/main/kotlin/org/kotlintor/hs/HsDos.kt;core/src/main/kotlin/org/kotlintor/hs/HsCommonConfigDos.kt;core/src/main/kotlin/org/kotlintor/relay/DosOptions.kt,D3,OnionDosPoliciesEventsElevationTest + Dos/DosGuard vs dos.c; matched 7 path(s),full CC DoS / intro point defenses thinner,
L1:core/or/dos_config.c,1_module,core/or,dos_config.c,dos_config,core/src/main/kotlin/org/kotlintor/relay/DosConfig.kt;core/src/main/kotlin/org/kotlintor/relay/DosOptions.kt;core/src/main/kotlin/org/kotlintor/config/Config.kt;core/src/main/kotlin/org/kotlintor/relay/Dos.kt,D3,OnionDosPoliciesEventsElevationTest + DosConfig/DosOptions vs dos_config.c; matched 4 path(s),full dos_options.inc consensus update thinner,
L1:core/or/dos_sys.c,1_module,core/or,dos_sys.c,dos_sys,core/src/main/kotlin/org/kotlintor/relay/DosSys.kt;core/src/main/kotlin/org/kotlintor/relay/DosGuard.kt;core/src/main/kotlin/org/kotlintor/relay/Dos.kt,D3,OnionFastRelayDosHsElevationTest + DosSys init/shutdown vs dos_sys.c; matched 3 path(s),full DoS consensus param reload / circuit flood thinner,
L1:core/or/extendinfo.c,1_module,core/or,extendinfo.c,extendinfo,core/src/main/kotlin/org/kotlintor/circuit/ExtendInfo.kt,D3,ExtendInfo.describe + fromRouterStatus elevation; matched 1 path(s),full extendinfo.c helpers thinner,
L1:core/or/ocirc_event.c,1_module,core/or,ocirc_event.c,ocirc_event,core/src/main/kotlin/org/kotlintor/control/OcircEvent.kt,D3,OnionDosPoliciesEventsElevationTest + OcircEvent CIRC vs ocirc_event.c; matched 1 path(s),full pubsub / control mask thinner,
L1:core/or/onion.c,1_module,core/or,onion.c,onion,core/src/main/kotlin/org/kotlintor/circuit/Onion.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionNtor.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionNtorV3.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionFast.kt;core/src/main/kotlin/org/kotlintor/crypto/OnionCrypto.kt,D3,OnionDosPoliciesEventsElevationTest + Onion CREATE2 helpers vs onion.c; matched 15 path(s),full create_cell queue / TAP reject / handshake length table thinner,
L1:core/or/or_periodic.c,1_module,core/or,or_periodic.c,or_periodic,core/src/main/kotlin/org/kotlintor/relay/OrPeriodic.kt;core/src/main/kotlin/org/kotlintor/relay/RelayService.kt;core/src/main/kotlin/org/kotlintor/mainloop/Periodic.kt,D3,OnionCryptoCpuWorkerVersionsElevationTest + OrPeriodic vs or_periodic.c; matched 3 path(s),full descriptor/reachability event table thinner,
L1:core/or/or_sys.c,1_module,core/or,or_sys.c,or_sys,core/src/main/kotlin/org/kotlintor/relay/OrSys.kt;core/src/main/kotlin/org/kotlintor/relay/RelayService.kt;core/src/main/kotlin/org/kotlintor/TorDaemon.kt,D3,OnionFastRelayDosHsElevationTest + OrSys/RelaySys vs or_sys.c; matched 3 path(s),full OR subsystem list / periodic hook matrix thinner,
L1:core/or/orconn_event.c,1_module,core/or,orconn_event.c,orconn_event,core/src/main/kotlin/org/kotlintor/control/OrconnEvent.kt,D3,OnionDosPoliciesEventsElevationTest + OrconnEvent ORCONN vs orconn_event.c; matched 1 path(s),full pubsub / control mask thinner,
L1:core/or/policies.c,1_module,core/or,policies.c,policies,core/src/main/kotlin/org/kotlintor/net/Policies.kt;core/src/main/kotlin/org/kotlintor/net/NetworkPolicy.kt,D3,OnionDosPoliciesEventsElevationTest + Policies/AddrPolicy vs policies.c; matched 2 path(s),full exit policy / IPv6 / rejectstar thinner,
L1:core/or/protover.c,1_module,core/or,protover.c,protover,core/src/main/kotlin/org/kotlintor/dir/Protover.kt,D3,ProtoverConfluxHsElevationTest + Protover supported/parse vs protover.c; matched 1 path(s),voting recommended/required lists thinner,
